feature,importance
worst perimeter,0.1479121888164363
worst area,0.13226872168076195
worst concave points,0.11011379716296908
mean concave points,0.08819971405017664
worst radius,0.08511620730137674
mean radius,0.060554123582339636
mean perimeter,0.06046497768061575
mean area,0.044700652539016394
mean concavity,0.04409082710005146
worst concavity,0.03282828929503383
area error,0.027891934439531453
mean compactness,0.01750143651626406
worst texture,0.016535786825897257
mean texture,0.014689895209995514
worst compactness,0.014454283585595586
worst smoothness,0.014181906784596925
worst symmetry,0.012413700287920002
radius error,0.011856834604176393
perimeter error,0.008102591327826753
concavity error,0.007976379229846479
